MoSCoW,SCRUM ID,Епік,Функціонал / User Story,Обґрунтування,Est (год),MVP?
MUST HAVE — Без цього продукт не працює,,,,,,
M,SCRUM-01,CORE—ЯДР,Вибір технічного стеку (Next.js 16 + Supabase + Tailwind v4),"Нема стеку — нема продукту. Технічна основа всього.",4.7,✅ MVP
M,SCRUM-02,CORE—ЯДР,GitHub Actions CI (tsc + vitest + next build),"Без CI будь-який push може зламати prod. Мінімальний gate якості.",6.7,✅ MVP
M,SCRUM-03,CORE—ЯДР,Проектування схеми БД (8 таблиць + RLS + pgvector),"Схема БД — фундамент. Помилка в схемі = дорогий рефакторинг пізніше.",9.0,✅ MVP
M,SCRUM-04,CORE—ЯДР,Supabase міграції 01–05 (products / orders / hubs / couriers / users),"Без таблиць orders і products — каталог і checkout не існують.",6.7,✅ MVP
M,SCRUM-05,CORE—ЯДР,Supabase міграції 06–10 (agent_reports / knowledge_documents / namedays),"Потрібні для агентів та іменинників. Краще закласти схему одразу.",6.3,✅ MVP
M,SCRUM-06,CORE—ЯДР,PIN аутентифікація + rate limit 5/15хв,"Без захисту — будь-хто бачить замовлення клієнтів і редагує каталог. Регуляторний ризик.",8.7,✅ MVP
M,SCRUM-07,CORE—ЯДР,Middleware захист /admin/* та /hub/*,"Захист маршрутів — базова вимога безпеки. Без нього адмінка відкрита всім.",4.7,✅ MVP
M,SCRUM-08,SHOP—МАГ,Storefront / каталог (ProductCard + EUR/BGN ціни),"Головна сторінка — точка входу клієнта. Без каталогу нема продажів.",8.7,✅ MVP
M,SCRUM-09,SHOP—МАГ,Фільтрація за тегами (Бестселлер / Сезонний / Преміум),"Без фільтрів клієнт не може знайти потрібний букет. UX-мінімум каталогу.",4.7,✅ MVP
M,SCRUM-11,SHOP—МАГ,Checkout Step 1–2: вибір + адреса + зона Haversine,"Без адреси і зони — система не знає куди і який хаб брати. Блокує весь dispatch.",11.0,✅ MVP
M,SCRUM-12,SHOP—МАГ,Checkout Step 3–4: дата / час + контактні дані,"Дата і телефон — обов'язкові для підтвердження. Без них замовлення не валідне.",8.7,✅ MVP
M,SCRUM-13,SHOP—МАГ,Checkout Step 5: підсумок + isOddFlowerCount + перехід до Stripe,"Валідація непарних квітів — культурна норма Болгарії. Без неї — образа клієнта. Підсумок обов'язковий.",6.7,✅ MVP
M,SCRUM-14,SHOP—МАГ,Stripe Checkout Session (server-side PCI-DSS),"Без оплати немає бізнесу. Stripe — єдиний спосіб прийняти картку безпечно.",8.7,✅ MVP
M,SCRUM-15,SHOP—МАГ,Stripe Webhook + idempotency key,"Без webhook замовлення не стартує після оплати. Idempotency — захист від подвійних ордерів.",11.0,✅ MVP
M,SCRUM-16,SHOP—МАГ,Сторінка Success після оплати,"Клієнт має отримати підтвердження. Без нього — дзвінки в підтримку і недовіра.",4.7,✅ MVP
M,SCRUM-18,OPS—ОПЕР,WhatsApp Cloud API (lib/whatsapp.ts: sendText + sendInteractive),"WA — єдиний канал комунікації з флористом і кур'єром. Без нього весь dispatch падає.",8.7,✅ MVP
M,SCRUM-19,OPS—ОПЕР,Алгоритм маршрутизації Hub (Haversine + сортування за відстанню),"Без маршрутизації замовлення не знає до якого хабу йти. Блокує весь OPS flow.",8.7,✅ MVP
M,SCRUM-20,OPS—ОПЕР,WhatsApp флористу — склад + адреса + кнопки Accept/Reject,"Флорист приймає замовлення через WA. Без повідомлення — флорист нічого не знає.",8.7,✅ MVP
M,SCRUM-21,OPS—ОПЕР,Таймаут 5 хвилин + автопереключення на наступний Hub,"Без таймауту замовлення зависає. SLA 2 год порушується. Клієнт не отримає квіти.",11.0,✅ MVP
M,SCRUM-22,OPS—ОПЕР,Broadcast dispatch кур'єрам (first-wins атомарний запис),"Без dispatch кур'єр не дізнається про замовлення. Доставка неможлива.",11.0,✅ MVP
