Рівень,ВІДКРИТТЯ (Discovery),ЗАМОВЛЕННЯ (Order),ВИКОНАННЯ (Delivery),УПРАВЛІННЯ (Management)
BACKBONE (Епіки),Клієнт знаходить і обирає букет,Клієнт оформлює і оплачує,Флорист і кур'єр виконують,Адмін і власник керують
ACTIVITIES (Дії),Перегляд каталогу / AI-підбір / Іменини / PWA,Оформлення замовлення / Оплата Stripe,Флорист WA / Кур'єр WA / Фото / Ескалація,Admin замовлення / Admin каталог / AI звіти
v1.0 MVP (зелений),US-01: Каталог з EUR+BGN,US-03: Checkout 5 кроків,US-05: WhatsApp нотифікації,US-09: Admin дашборд real-time
v1.0 MVP (зелений),(відкриття каталогу),US-04: Оплата через Stripe,US-06: Флорист приймає/відхиляє,(управління замовленнями)
v1.0 MVP (зелений),,,(US-07: Кур'єр first-wins dispatch),
v2.0 Growth (жовтий),US-02: AI Finder (30 комбінацій),US-08: Фото підтвердження доставки,US-12: Hub дашборд real-time,US-10: Admin CRUD каталогу
v2.0 Growth (жовтий),US-11: Нагадування про іменини,,US-13: Ескалація після 5 хвилин,
v2.0 Growth (жовтий),US-15: PWA встановлення,,,(перегляд AI-звітів в дашборді)
v3.0 Scale (помаранчевий),,,НФВ-5: Масштаб до 10 хабів,US-14: AI-бухгалтер 2×/місяць
v3.0 Scale (помаранчевий),,,,(AI-юрист + AI-маркетолог звіти)
БІЗНЕС-ЦІЛІ,,,,
БЦ-1: Автоматизація,покриває US-01÷US-03,покриває US-04,покриває US-05÷US-08 + US-13,
БЦ-2: Зростання виручки,покриває US-02 US-11 US-15,покриває US-03 US-04,,
БЦ-3: Операційна прозорість,,,покриває US-12 US-13,покриває US-09 US-10 US-14
