US ID,AC ID,Критерій прийомки,Тип перевірки,Статус
US-01,AC-01а,Каталог відображає всі активні букети з ціною у EUR та BGN одночасно (до 08.08.2026),Функціональний,✅ Pass
US-01,AC-01б,Картка товару містить фото назву кількість квітів та тег (Бестселлер/Сезонний/Преміум),UI/UX,✅ Pass
US-01,AC-01в,Сторінка завантажується менше ніж за 2 секунди на мобільному 3G,Продуктивність,✅ Pass
US-02,AC-02а,Форма містить 6 варіантів отримувача та 5 варіантів приводу (30 унікальних комбінацій),Функціональний,✅ Pass
US-02,AC-02б,Результат відображає назву букета пояснення та ціну EUR/BGN,UI/UX,✅ Pass
US-02,AC-02в,Кнопка Замовити з результату переходить прямо до Checkout цього букета,Навігація,✅ Pass
US-03,AC-03а,Форма валідує адресу та відображає зону доставки (Центр/Північ/Меден Рудник),Функціональний,✅ Pass
US-03,AC-03б,Клієнт отримує WhatsApp-підтвердження протягом 1 хвилини після оплати,Інтеграція,✅ Pass
US-03,AC-03в,Можливе скасування замовлення протягом 5 хвилин після оформлення,Бізнес-правило,✅ Pass
US-04,AC-04а,Stripe Checkout відкривається у захищеному iframe (PCI-DSS compliant),Безпека,✅ Pass
US-04,AC-04б,При успішній оплаті замовлення автоматично потрапляє до черги флористів,Інтеграція,✅ Pass
US-04,AC-04в,При невдалій оплаті клієнт бачить зрозуміле повідомлення та може спробувати знову,UX,✅ Pass
US-05,AC-05а,Повідомлення відправляється протягом 30 секунд після зміни статусу,Продуктивність,✅ Pass
US-05,AC-05б,Повідомлення кур'єр у дорозі містить ім'я кур'єра та орієнтовний час,Функціональний,✅ Pass
US-05,AC-05в,Повідомлення доставлено містить фото підтвердження доставки,Функціональний,✅ Pass
US-06,AC-06а,Повідомлення містить склад букета адресу доставки час та суму,Функціональний,✅ Pass
US-06,AC-06б,Флорист має 5 хвилин на відповідь після чого замовлення переходить до наступного хабу,Бізнес-правило,✅ Pass
US-06,AC-06в,Підтверджений флорист не отримує нових замовлень поки не завершить поточне,Логіка маршрутизації,✅ Pass
US-07,AC-07а,Broadcast відправляється одночасно всім активним кур'єрам у зоні,Функціональний,✅ Pass
US-07,AC-07б,Перший кур'єр що натиснув Прийняти отримує замовлення; інші отримують Вже зайнято,Бізнес-правило,✅ Pass
US-07,AC-07в,Атомарний запис у БД запобігає подвійному призначенню (race condition захист),Технічний,✅ Pass
US-08,AC-08а,Фото зберігається в Supabase Storage і прив'язується до замовлення,Функціональний,✅ Pass
US-08,AC-08б,Статус замовлення автоматично змінюється на delivered після отримання фото,Автоматизація,✅ Pass
US-08,AC-08в,Клієнт отримує WhatsApp-повідомлення з фото протягом 1 хвилини,Інтеграція,✅ Pass
US-09,AC-09а,Дашборд оновлюється без перезавантаження сторінки (Supabase Realtime),Технічний,✅ Pass
US-09,AC-09б,Відображається ID клієнт адреса статус флорист/кур'єр та час,UI/UX,✅ Pass
US-09,AC-09в,Адмін може вручну змінити статус або переназначити кур'єра,Функціональний,✅ Pass
US-10,AC-10а,Форма валідує непарну кількість квітів (парна заборонена за болгарською традицією),Бізнес-правило,✅ Pass
US-10,AC-10б,Фото завантажується у Supabase Storage (JPEG/PNG/WebP макс 5 МБ),Функціональний,✅ Pass
US-10,AC-10в,Деактивований букет не відображається клієнтам але зберігається в БД,Функціональний,✅ Pass
US-11,AC-11а,Нагадування відправляється о 09:00 напередодні святкового дня,Функціональний,✅ Pass
US-11,AC-11б,Повідомлення містить ім'я іменинника та кнопку Замовити зараз,UI/UX,✅ Pass
US-11,AC-11в,Cron-job перевіряє іменинні дати щоденно з точністю ±0 днів,Технічний,✅ Pass
US-12,AC-12а,Список замовлень оновлюється миттєво при зміні статусу (Supabase Realtime websocket),Технічний,✅ Pass
US-12,AC-12б,Відображається пріоритет кольором: нове→прийняте→готове→передано кур'єру,UI/UX,✅ Pass
US-12,AC-12в,Доступ захищений PIN-кодом (httpOnly cookie окремий від адмін-доступу),Безпека,✅ Pass
US-13,AC-13а,Cron-job перевіряє прострочені замовлення кожні 2 хвилини,Технічний,✅ Pass
US-13,AC-13б,Адмін отримує WhatsApp із ID замовлення адресою та кількістю спроб маршрутизації,Функціональний,✅ Pass
US-13,AC-13в,Після ескалації замовлення отримує статус needs_attention і виділяється в дашборді,UI/UX,✅ Pass
US-14,AC-14а,Звіт генерується 1-го і 15-го числа кожного місяця о 08:00 UTC,Функціональний,✅ Pass
US-14,AC-14б,Містить загальна виручка EUR/BGN комісії кур'єрів ПДВ 20% корп.податок 10%,Бізнес-правило,✅ Pass
US-14,AC-14в,Адмін отримує summary у WhatsApp з посиланням на повний звіт у дашборді,Інтеграція,✅ Pass
US-15,AC-15а,Браузер пропонує банер Встановити додаток після 2-го відвідування,Функціональний,✅ Pass
US-15,AC-15б,PWA працює offline — відображає каталог із кешу при відсутності інтернету,Технічний,✅ Pass
US-15,AC-15в,Іконка splash screen та назва Kiss My Flowers відповідають бренду,UI/UX,✅ Pass
