US ID,Роль,Дія,Результат,Повна формулювання,Epic,Release,Story Points,Статус
US-01,Клієнт,переглядати каталог букетів із цінами та фото,обрати подарунок що підходить за бюджетом і приводом,Я як клієнт можу переглядати каталог букетів із цінами та фото щоб обрати подарунок що підходить за бюджетом і приводом,ВІДКРИТТЯ,v1.0 MVP,3,✅ Done
US-02,Клієнт,пройти 2-крокову форму AI-підбору (Для кого + Привід),отримати персональну рекомендацію букета без перегляду всього каталогу,Я як клієнт можу пройти 2-крокову форму AI-підбору щоб отримати персональну рекомендацію без перегляду всього каталогу,ВІДКРИТТЯ,v2.0 Growth,5,✅ Done
US-03,Клієнт,оформити замовлення у 5 кроків (вибір→адреса→час→контакти→оплата),отримати підтвердження та передбачуваний час доставки,Я як клієнт можу оформити замовлення у 5 кроків щоб отримати підтвердження та передбачуваний час доставки,ЗАМОВЛЕННЯ,v1.0 MVP,8,✅ Done
US-04,Клієнт,оплатити замовлення карткою через захищений шлюз Stripe,не передавати дані картки безпосередньо магазину,Я як клієнт можу оплатити замовлення карткою через Stripe щоб не передавати дані картки магазину,ЗАМОВЛЕННЯ,v1.0 MVP,5,✅ Done
US-05,Клієнт,отримувати WhatsApp-повідомлення на кожному етапі замовлення,бути в курсі статусу без необхідності телефонувати,Я як клієнт можу отримувати WhatsApp-повідомлення на кожному етапі щоб бути в курсі без дзвінків,ВИКОНАННЯ,v1.0 MVP,3,✅ Done
US-06,Флорист,отримати WhatsApp-повідомлення та прийняти або відхилити замовлення,підтвердити що можу виконати замовлення в строк,Я як флорист можу отримати WA-повідомлення і прийняти або відхилити замовлення щоб підтвердити виконання в строк,ВИКОНАННЯ,v1.0 MVP,5,✅ Done
US-07,Кур'єр,отримати broadcast-повідомлення та першим взяти замовлення,гарантувати справедливий розподіл замовлень між кур'єрами,Я як кур'єр можу отримати broadcast і першим взяти замовлення щоб забезпечити справедливий розподіл,ВИКОНАННЯ,v1.0 MVP,8,✅ Done
US-08,Кур'єр,надіслати фото виконаної доставки через WhatsApp-бот,автоматично закрити замовлення та підтвердити виконання клієнту,Я як кур'єр можу надіслати фото доставки через WhatsApp щоб автоматично закрити замовлення,ВИКОНАННЯ,v2.0 Growth,5,✅ Done
US-09,Адміністратор,бачити всі замовлення з фільтрами в реальтаймі,оперативно втручатися у проблемні кейси,Я як адміністратор можу бачити всі замовлення в реальтаймі щоб оперативно вирішувати проблеми,УПРАВЛІННЯ,v1.0 MVP,5,✅ Done
US-10,Адміністратор,додавати редагувати деактивувати букети та завантажувати фото з дашборду,підтримувати актуальний каталог без залучення розробника,Я як адміністратор можу керувати каталогом з дашборду щоб не залежати від розробника,УПРАВЛІННЯ,v2.0 Growth,8,✅ Done
US-11,Клієнт,отримувати WhatsApp-нагадування напередодні іменин близьких,не забути привітати і замовити квіти вчасно,Я як клієнт можу отримувати нагадування про іменини щоб не забути замовити квіти,ВІДКРИТТЯ,v2.0 Growth,3,✅ Done
US-12,Флорист,бачити поточні замовлення в реальтаймі через веб-інтерфейс Hub,планувати роботу і не залежати лише від WhatsApp,Я як флорист можу бачити замовлення в Hub-дашборді щоб планувати роботу без залежності від WA,ВИКОНАННЯ,v2.0 Growth,5,✅ Done
US-13,Адміністратор,отримати автоматичне сповіщення якщо флорист не прийняв замовлення за 5 хв,вручну вирішити ситуацію і не порушити SLA 2 години,Я як адміністратор можу отримати сповіщення про прострочення щоб вирішити ситуацію до порушення SLA,ВИКОНАННЯ,v2.0 Growth,5,✅ Done
US-14,Власник,отримувати автоматичний фінансовий звіт двічі на місяць,приймати обґрунтовані рішення без бухгалтера,Я як власник можу отримувати AI-звіт бухгалтера двічі на місяць щоб керувати фінансами без бухгалтера,УПРАВЛІННЯ,v3.0 Scale,8,✅ Done
US-15,Клієнт,встановити Kiss My Flowers як PWA на головний екран телефона,замовляти квіти одним кліком без відкриття браузера,Я як клієнт можу встановити PWA на смартфон щоб замовляти квіти без браузера,ВІДКРИТТЯ,v2.0 Growth,3,✅ Done
