ID,Фаза,Назва User Story / Задачі,O (Оптимістична),M (Найімовірніша),P (Песимістична),E = (O+4M+P)/6,SD = (P-O)/6
,,,,,,Формула PERT,,
TF-01,1. Ініціалізація,Налаштування проекту (Next.js 16 + Supabase + Tailwind v4 + TypeScript конфіг),4,6,12,6.7,1.3
TF-02,1. Ініціалізація,Проектування схеми БД — 8 таблиць + RLS політики + pgvector extension,6,8,16,9.0,1.7
TF-03,1. Ініціалізація,Supabase міграції 01–05 (products / orders / hubs / couriers / users),4,6,12,6.7,1.3
TF-04,1. Ініціалізація,Supabase міграції 06–10 (agent_reports / knowledge_documents / namedays / sessions),4,6,10,6.3,1.0
TF-05,1. Ініціалізація,Налаштування .env.local — всі змінні середовища + .env.example,4,4,6,4.3,0.3
TF-06,1. Ініціалізація,GitHub Actions CI pipeline — tsc + vitest + next build на кожен PR,4,6,12,6.7,1.3
TF-07,1. Ініціалізація,PIN аутентифікація (crypto.timingSafeEqual) + rate limit 5 спроб / 15 хвилин,4,8,16,8.7,2.0
TF-08,1. Ініціалізація,Middleware — захист маршрутів /admin/* та /hub/* (httpOnly cookie),4,4,8,4.7,0.7
US-01a,2. Клієнтська частина,Компонент ProductCard — фото + назва + тег + EUR/BGN ціна одночасно,4,6,12,6.7,1.3
US-01b,2. Клієнтська частина,Сторінка каталогу / storefront — список букетів + завантаження < 2с на 3G,4,8,16,8.7,2.0
US-01c,2. Клієнтська частина,Фільтрація за тегами (Бестселлер / Сезонний / Преміум) — chip-фільтри,4,4,8,4.7,0.7
US-01d,2. Клієнтська частина,Логіка подвійного ціноутворення EUR+BGN (курс 1.95583 до 08.08.2026),4,4,6,4.3,0.3
US-02a,2. Клієнтська частина,AI Finder Step 1 — вибір отримувача (6 варіантів: мама / партнер / друг…),4,6,10,6.3,1.0
US-02b,2. Клієнтська частина,AI Finder Step 2 — вибір приводу (5 варіантів: ДН / закоханість / вибачення…),4,4,8,4.7,0.7
US-02c,2. Клієнтська частина,Матриця рекомендацій (30 комбінацій на JS) + результат з поясненням + кнопка Замовити,4,6,12,6.7,1.3
US-03a,2. Клієнтська частина,Checkout Step 1–2: вибір букета + адреса доставки + валідація зони (Haversine),6,10,20,11.0,2.3
US-03b,2. Клієнтська частина,Checkout Step 3–4: вибір дати/часу + контактні дані клієнта,4,8,16,8.7,2.0
US-03c,2. Клієнтська частина,Checkout Step 5: підсумок + валідація непарних квітів (isOddFlowerCount) + перехід до Stripe,4,6,12,6.7,1.3
US-04a,2. Клієнтська частина,Stripe Checkout Session (server-side) — PCI-DSS compliant,4,8,16,8.7,2.0
