SCRUM ID,Епік,Назва задачі,O (год),M (год),P (год),E = (O+4M+P)/6,SD = (P-O)/6,Статус в Jira
DESIGN—ДИ,,,,,,,
SCRUM-56,DESIGN—ДИ,Figma: Карточка товару — фото + ціна EUR/BGN + тег + hover quick-add,4,6,12,6.7,1.3,DONE
SCRUM-57,DESIGN—ДИ,Figma: Головна сторінка / Storefront — hero + банер + каталог-сітка,4,8,16,8.7,2.0,TO DO
SCRUM-58,DESIGN—ДИ,Figma: Сторінка каталогу + chip-фільтри + порожній стан,4,6,12,6.7,1.3,TO DO
SCRUM-59,DESIGN—ДИ,Figma: Checkout flow — 5 кроків + progress bar + валідація,6,10,20,11.0,2.3,TO DO
SCRUM-60,DESIGN—ДИ,Figma: Admin Dashboard — таблиця замовлень + фільтри + статуси,4,8,16,8.7,2.0,TO DO
SCRUM-61,DESIGN—ДИ,Figma: Сторінка успіху після оплати — підтвердження + деталі,4,4,8,4.7,0.7,TO DO
SCRUM-62,DESIGN—ДИ,Figma: Мобільна версія (адаптив 375px) — всі сторінки,6,10,20,11.0,2.3,IN REVIEW
SCRUM-63,DESIGN—ДИ,Figma: Hub Dashboard — Realtime статуси + кольорова пріоритизація,4,6,12,6.7,1.3,TO DO
SCRUM-64,DESIGN—ДИ,Design System — палітра + типографіка + компоненти (Button / Input / Card),4,6,10,6.3,1.0,TO DO
CORE—ЯДР,,,,,,,
SCRUM-01,CORE—ЯДР,Вибір технічного стеку (Next.js 16 + Supabase + Tailwind v4 + TypeScript),4,4,8,4.7,0.7,DONE
SCRUM-02,CORE—ЯДР,Налаштування репозиторію + GitHub Actions CI (tsc + vitest + next build),4,6,12,6.7,1.3,DONE
SCRUM-03,CORE—ЯДР,Проектування схеми БД — 8 таблиць + RLS + pgvector extension,6,8,16,9.0,1.7,DONE
SCRUM-04,CORE—ЯДР,Supabase міграції 01–05 (products / orders / hubs / couriers / users),4,6,12,6.7,1.3,DONE
SCRUM-05,CORE—ЯДР,Supabase міграції 06–10 (agent_reports / knowledge_documents / namedays),4,6,10,6.3,1.0,DONE
SCRUM-06,CORE—ЯДР,PIN аутентифікація (crypto.timingSafeEqual) + rate limit 5 спроб / 15 хвилин,4,8,16,8.7,2.0,DONE
SCRUM-07,CORE—ЯДР,Middleware — захист маршрутів /admin/* та /hub/* (httpOnly cookie),4,4,8,4.7,0.7,DONE
SCRUM-31,CORE—ЯДР,Налаштування домену kissmyflowers.bg + DNS записи → Vercel + SSL,4,4,8,4.7,0.7,IN REVIEW
SCRUM-35,CORE—ЯДР,Supabase: створити production проект + застосувати всі 10 міграцій,4,8,16,8.7,2.0,IN PROGRESS
SHOP—МАГ,,,,,,,
SCRUM-08,SHOP—МАГ,Storefront / каталог — ProductCard + EUR/BGN подвійне ціноутворення,4,8,16,8.7,2.0,DONE
SCRUM-09,SHOP—МАГ,Фільтрація за тегами (Бестселлер / Сезонний / Преміум) — chip-фільтри,4,4,8,4.7,0.7,DONE
SCRUM-10,SHOP—МАГ,AI Finder — 2-кроковий wizard (6 отримувачів × 5 приводів = 30 комбінацій),4,8,16,8.7,2.0,DONE
SCRUM-11,SHOP—МАГ,Checkout Step 1–2: вибір букета + адреса + зона доставки (Haversine),6,10,20,11.0,2.3,DONE
